dataset,kernel,w_tilde
synthetic,"ExponentialPseudo(0.0, 0.05)",[-0.88709866 -0.86203526 -0.87420301 -1.21663988 -1.19167357]
synthetic,"ExponentialPseudo(0.0, 0.05)",[-108.76432825  -76.62326442   64.94690678  158.72595518 -144.33763429]
synthetic,"ExponentialPseudo(0.0, 0.05)",[-1.22224452 -0.34322138  0.05087343 -0.83059934  0.22026421]
synthetic,"ExponentialPseudo(0.0, 0.05)",[-0.36903042 -0.36059257 -0.3569123  -0.42548464 -0.41360391]
synthetic,"ExponentialPseudo(0.0, 0.05)",[-55.43433636 136.02643799 -63.33962152  41.1662964  -68.71322376]
digg,"ExponentialPseudo(0.0, 0.5)",[ 0.12680357 -0.01025945 -0.0018304   0.01850777 -0.02202507]
lastfm,"PowerLaw(0.0, 1.0)",[41.73325331]
irvine,"PowerLaw(0.0, 0.5)",[0.26740734]
synthetic,"ExponentialPseudo(0.0, 0.05)",[  8.65823369 -63.83105898 -82.37818242   0.46026488 -61.49405375]
synthetic,"ExponentialPseudo(0.0, 0.05)",[ 1.04559588  3.67312273  3.61138664  2.8769325  -3.71381867]
synthetic,"ExponentialPseudo(0.0, 0.05)",[-2.1604254  -2.34365648 -1.56552312 -0.59063131 -0.59063131]
synthetic,"ExponentialPseudo(0.0, 0.05)",[-2.27359054 -2.4473355  -1.63030954 -0.6540127  -0.6540127 ]
synthetic,"ExponentialPseudo(0.0, 0.05)",[  7.08023015  35.94859875  36.74844384  42.83259795 -39.01761571]
digg,"ExponentialPseudo(0.0, 0.5)",[  0.22512069   7.4590893    7.3276701    5.65654812 -11.49806591]
